City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,puerto ayacucho,5.6639,-67.6236,27.55,75,93,1.44,VE,1701219398
229,yantarnyy,54.8717,19.9381,-4.08,64,100,7.2,RU,1701219445
230,mugango,-1.6833,33.7,20.07,87,100,2.35,TZ,1701219445
231,christchurch,-43.5333,172.6333,15.53,57,100,3.09,NZ,1701219177
232,hwange,-18.3693,26.5019,25.04,46,60,2.18,ZW,1701219445
233,santa ana de yacuma,-13.75,-65.4333,26.32,68,39,2.84,BO,1701219446
234,lagos,6.5833,3.75,27.18,90,100,1.85,NG,1701219166
235,port macquarie,-31.4333,152.9167,26.61,70,56,7.44,AU,1701219446
236,atafu village,-8.5421,-172.5159,27.67,74,100,3.4,TK,1701219447
237,bilibino,68.0546,166.4372,-33.09,100,100,0.6,RU,1701219447
238,hammerfest,70.6634,23.6821,0.25,69,75,5.66,NO,1701219447
239,colonia,50.9333,6.95,2.14,81,100,4.12,DE,1701219267
240,dharchula,29.85,80.5333,10.93,41,7,3.41,IN,1701219448
241,kirakira,-10.4544,161.9205,29.16,76,97,3.53,SB,1701219448
242,kalemie,-5.9475,29.1947,20.84,89,100,2.74,CD,1701219448
243,chervyen',53.7059,28.4313,-6.83,94,100,5.49,BY,1701219449
244,flying fish cove,-10.4217,105.6791,25.67,68,37,8.06,CX,1701219449
245,puerto deseado,-47.7503,-65.8938,17.34,31,98,15.65,AR,1701219449
246,isafjordur,66.0755,-23.124,0.47,95,100,2.59,IS,1701219450
247,caidian,30.5833,114.0333,12.07,47,7,4.82,CN,1701219450
248,huarmey,-10.0681,-78.1522,20.26,83,100,4.2,PE,1701219450
249,bereket,39.2446,55.5154,6.95,77,4,2.92,TM,1701219451
250,turinsk,58.0458,63.696,-4.47,95,100,2.56,RU,1701219451
251,tazacorte,28.629,-17.9293,18.54,85,0,3.13,ES,1701219451
252,walvis bay,-22.9575,14.5053,17.27,85,11,0.88,NA,1701219285
253,marquette,46.5333,-87.6335,-6.29,61,100,4.92,US,1701219452
254,farim,12.4839,-15.2217,22.13,50,0,2.53,GW,1701219452
255,namikupa,-10.8333,39.6,21.29,98,100,1.12,TZ,1701219452
256,horta,38.5333,-28.6333,18.9,96,100,4.02,PT,1701219453
257,de aar,-30.6497,24.0123,17.03,61,100,8.49,ZA,1701219453
258,puerto ayora,-0.7393,-90.3518,24.75,90,45,5.36,EC,1701219453
259,lazaro cardenas,17.9583,-102.2,26.82,80,100,0.44,MX,1701219454
260,zykovo,55.9519,93.1461,-24.59,98,37,1.7,RU,1701219454
261,whitehorse,60.7161,-135.0538,-6.57,79,20,1.54,CA,1701219358
262,mwanza,-2.5167,32.9,21.12,82,100,1.49,TZ,1701219454
263,dudinka,69.4058,86.1778,-26.95,100,29,0.99,RU,1701219455
264,burang,30.25,81.1667,-10.12,92,37,1.29,CN,1701219455
265,oktyabr'skiy,54.4815,53.471,-6.83,96,100,1.79,RU,1701219455
266,karpinsk,59.7654,60.0085,-6.42,96,100,2.5,RU,1701219456
267,taoudenni,22.6783,-3.9836,19.36,18,100,3.14,ML,1701219456
268,linxia chengguanzhen,35.6003,103.2064,-1.05,57,100,1.69,CN,1701219456
269,bedele,8.456,36.353,11.57,93,85,0.74,ET,1701219456
270,mutsu,41.2894,141.2169,1.01,75,75,4.12,JP,1701219456
271,yaren,-0.5472,166.916,28.44,76,100,3.32,NR,1701219457
272,manokwari,-0.8667,134.0833,28.01,72,100,1.17,ID,1701219457
273,princeville,45.7668,-61.2985,0.79,94,100,2.57,CA,1701219457
274,uturoa,-16.7333,-151.4333,26.79,80,37,9.26,PF,1701219458
275,puerto baquerizo moreno,-0.9,-89.6,24.58,77,91,7.23,EC,1701219458
276,taksimo,56.3444,114.8794,-18.75,83,100,2.48,RU,1701219458
277,visakhapatnam,17.69,83.2093,22.94,94,20,1.03,IN,1701219458
278,sona,45.4388,10.8255,2.19,93,0,2.06,IT,1701219459
279,emporia,38.4039,-96.1817,4.38,65,0,4.63,US,1701219252
280,egilsstadir,65.2653,-14.3948,2.95,75,100,1.54,IS,1701219459
